"Курсы валют ЦБ РФ Дата данных: 2026-05-23T11:30:00+03:00 Предыдущая дата: 2026-05-22T11:30:00+03:00 Код","Валюта","Номинал","Курс за 1 ед., RUB","Пред. курс за 1 ед., RUB","Изм., RUB","Изм., %","","Статус Ежедневный триггер создан: примерно 09:00 "
"ETB","Эфиопских быров","100","0,4502","0,4435","0,0067","1,5170","",""
"NOK","Норвежских крон","10","7,7138","7,6288","0,0849","1,1140","",""
"BRL","Бразильский реал","1","14,2208","14,0742","0,1466","1,0420","",""
"KRW","Вон","1000","0,0474","0,0469","0,0005","1,0070","",""
"INR","Индийских рупий","100","0,7421","0,7350","0,0071","0,9670","",""
"UZS","Узбекских сумов","10000","0,0059","0,0059","0,0001","0,9410","",""
"EUR","Евро","1","82,5445","83,2746","-0,7301","-0,8770","",""
"NZD","Новозеландский доллар","1","41,8282","41,4866","0,3416","0,8230","",""
"CNY","Юань","1","10,4823","10,3980","0,0843","0,8110","",""
"AUD","Австралийский доллар","1","50,8361","50,4380","0,3981","0,7890","",""
"SEK","Шведских крон","10","7,6044","7,5492","0,0552","0,7310","",""
"CZK","Чешских крон","10","3,4036","3,3798","0,0237","0,7020","",""
"CHF","Швейцарский франк","1","90,5852","89,9609","0,6243","0,6940","",""
"TJS","Сомони","10","7,6740","7,6212","0,0528","0,6920","",""
"NGN","Найр","1000","0,0519","0,0515","0,0003","0,6680","",""
"IDR","Рупий","10000","0,0040","0,0040","0,0000","0,6600","",""
"KZT","Тенге","100","0,1510","0,1501","0,0010","0,6600","",""
"SGD","Сингапурский доллар","1","55,6842","55,3308","0,3534","0,6390","",""
"XDR","СДР (специальные права заимствования)","1","97,3221","96,7157","0,6064","0,6270","",""
"GEL","Лари","1","26,6202","26,4626","0,1576","0,5960","",""
"VND","Донгов","10000","0,0028","0,0028","0,0000","0,5950","",""
"THB","Батов","10","2,1801","2,1672","0,0129","0,5950","",""
"MNT","Тугриков","1000","0,0199","0,0198","0,0001","0,5940","",""
"BHD","Бахрейнский динар","1","189,3447","188,2311","1,1136","0,5920","",""
"BOB","Боливиано","1","10,3052","10,2446","0,0606","0,5920","",""
"USD","Доллар США","1","71,2090","70,7902","0,4188","0,5920","",""
"EGP","Египетских фунтов","10","1,3453","1,3374","0,0079","0,5920","",""
"KGS","Сомов","100","0,8143","0,8095","0,0048","0,5920","",""
"CUP","Кубинских песо","10","2,9670","2,9496","0,0175","0,5920","",""
"OMR","Оманский риал","1","185,1990","184,1098","1,0892","0,5920","",""
"SAR","Саудовский риял","1","18,9891","18,8774","0,1117","0,5920","",""
"BDT","Так","100","0,5798","0,5764","0,0034","0,5920","",""
"MMK","Кьятов","1000","0,0339","0,0337","0,0002","0,5920","",""
"AZN","Азербайджанский манат","1","41,8876","41,6413","0,2463","0,5910","",""
"AED","Дирхам ОАЭ","1","19,3898","19,2758","0,1140","0,5910","",""
"QAR","Катарский риал","1","19,5629","19,4479","0,1150","0,5910","",""
"TMT","Новый туркменский манат","1","20,3454","20,2258","0,1196","0,5910","",""
"ZAR","Рэндов","10","4,3233","4,2979","0,0254","0,5910","",""
"DZD","Алжирских динаров","100","0,5359","0,5328","0,0031","0,5870","",""
"DKK","Датская крона","1","11,0525","10,9882","0,0643","0,5850","",""
"MDL","Молдавских леев","10","4,1011","4,0779","0,0232","0,5690","",""
"HKD","Гонконгских долларов","10","9,0851","9,0340","0,0511","0,5660","",""
"AMD","Армянских драмов","100","0,1935","0,1924","0,0011","0,5610","",""
"TRY","Турецких лир","10","1,5627","1,5541","0,0086","0,5500","",""
"UAH","Гривен","10","1,6088","1,6004","0,0085","0,5290","",""
"RSD","Сербских динаров","100","0,7045","0,7008","0,0037","0,5260","",""
"JPY","Иен","100","0,4477","0,4456","0,0021","0,4780","",""
"PLN","Злотый","1","19,4714","19,3792","0,0922","0,4760","",""
"HUF","Форинтов","100","0,2301","0,2291","0,0010","0,4450","",""
"GBP","Фунт стерлингов","1","95,5055","95,0925","0,4130","0,4340","",""
"CAD","Канадский доллар","1","51,6644","51,4800","0,1844","0,3580","",""
"RON","Румынский лей","1","15,7434","15,6973","0,0461","0,2940","",""
"BYN","Белорусский рубль","1","25,8885","25,9162","-0,0277","-0,1070","",""
"IRR","Иранских риалов","1000000","0,0000","0,0000","0,0000","0,0000","",""
